product_key;product_id;product_number;product_name;product_cost;product_line;category_id;category;subcategory;maintenance;start_date
1;210;FR-R92B-58;HL Road Frame - Black- 58;0;Road;CO_RF;Components;Road Frames;Yes;2003-07-01
2;211;FR-R92R-58;HL Road Frame - Red- 58;0;Road;CO_RF;Components;Road Frames;Yes;2003-07-01
3;348;BK-M82B-38;Mountain-100 Black- 38;1898;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2011-07-01
4;349;BK-M82B-42;Mountain-100 Black- 42;1898;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2011-07-01
5;350;BK-M82B-44;Mountain-100 Black- 44;1898;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2011-07-01
6;351;BK-M82B-48;Mountain-100 Black- 48;1898;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2011-07-01
7;344;BK-M82S-38;Mountain-100 Silver- 38;1912;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2011-07-01
8;345;BK-M82S-42;Mountain-100 Silver- 42;1912;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2011-07-01
9;346;BK-M82S-44;Mountain-100 Silver- 44;1912;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2011-07-01
10;347;BK-M82S-48;Mountain-100 Silver- 48;1912;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2011-07-01
11;317;BK-R68R-44;Road-450 Red- 44;885;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
12;318;BK-R68R-48;Road-450 Red- 48;885;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
13;319;BK-R68R-52;Road-450 Red- 52;885;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
14;315;BK-R68R-58;Road-450 Red- 58;885;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
15;316;BK-R68R-60;Road-450 Red- 60;885;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
16;311;BK-R93R-44;Road-150 Red- 44;2171;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
17;312;BK-R93R-48;Road-150 Red- 48;2171;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
18;313;BK-R93R-52;Road-150 Red- 52;2171;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
19;314;BK-R93R-56;Road-150 Red- 56;2171;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
20;310;BK-R93R-62;Road-150 Red- 62;2171;Road;BI_RB;Bikes;Road Bikes;Yes;2011-07-01
21;299;FR-M94B-44;HL Mountain Frame - Black- 44;699;Mountain;CO_MF;Components;Mountain Frames;Yes;2011-07-01
22;300;FR-M94B-48;HL Mountain Frame - Black- 48;699;Mountain;CO_MF;Components;Mountain Frames;Yes;2011-07-01
23;291;FR-M94S-44;HL Mountain Frame - Silver- 44;707;Mountain;CO_MF;Components;Mountain Frames;Yes;2011-07-01
24;292;FR-M94S-52;HL Mountain Frame - Silver- 48;707;Mountain;CO_MF;Components;Mountain Frames;Yes;2011-07-01
25;274;FR-R72R-44;ML Road Frame - Red- 44;352;Road;CO_RF;Components;Road Frames;Yes;2011-07-01
26;275;FR-R72R-48;ML Road Frame - Red- 48;352;Road;CO_RF;Components;Road Frames;Yes;2011-07-01
27;276;FR-R72R-52;ML Road Frame - Red- 52;352;Road;CO_RF;Components;Road Frames;Yes;2011-07-01
28;277;FR-R72R-58;ML Road Frame - Red- 58;352;Road;CO_RF;Components;Road Frames;Yes;2011-07-01
29;278;FR-R72R-60;ML Road Frame - Red- 60;352;Road;CO_RF;Components;Road Frames;Yes;2011-07-01
30;219;SO-B909-L;Mountain Bike Socks- L;3;Mountain;CL_SO;Clothing;Socks;No;2011-07-01
31;218;SO-B909-M;Mountain Bike Socks- M;3;Mountain;CL_SO;Clothing;Socks;No;2011-07-01
32;364;BK-M47B-38;Mountain-300 Black- 38;598;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2012-07-01
33;365;BK-M47B-40;Mountain-300 Black- 40;598;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2012-07-01
34;366;BK-M47B-44;Mountain-300 Black- 44;598;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2012-07-01
35;367;BK-M47B-48;Mountain-300 Black- 48;598;Mountain;BI_MB;Bikes;Mountain Bikes;Yes;2012-07-01
36;339;BK-R50B-44;Road-650 Black- 44;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
37;341;BK-R50B-48;Road-650 Black- 48;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
38;343;BK-R50B-52;Road-650 Black- 52;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
39;333;BK-R50B-58;Road-650 Black- 58;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
40;335;BK-R50B-60;Road-650 Black- 60;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
41;337;BK-R50B-62;Road-650 Black- 62;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
42;327;BK-R50R-44;Road-650 Red- 44;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
43;329;BK-R50R-48;Road-650 Red- 48;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
44;331;BK-R50R-52;Road-650 Red- 52;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
45;321;BK-R50R-58;Road-650 Red- 58;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
46;323;BK-R50R-60;Road-650 Red- 60;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
47;325;BK-R50R-62;Road-650 Red- 62;487;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
48;368;BK-R89R-44;Road-250 Red- 44;1519;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
49;369;BK-R89R-48;Road-250 Red- 48;1519;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
50;370;BK-R89R-52;Road-250 Red- 52;1519;Road;BI_RB;Bikes;Road Bikes;Yes;2012-07-01
51;391;FK-1639;LL Fork;66;n/a;CO_FO;Components;Forks;Yes;2012-07-01
52;392;FK-5136;ML Fork;78;n/a;CO_FO;Components;Forks;Yes;2012-07-01
53;393;FK-9939;HL Fork;102;n/a;CO_FO;Components;Forks;Yes;2012-07-01
54;409;FR-M63B-38;ML Mountain Frame - Black- 38;186;Mountain;CO_MF;Components;Mountain Frames;Yes;2012-07-01
55;426;FR-M63B-40;ML Mountain Frame - Black- 40;186;Mountain;CO_MF;Components;Mountain Frames;Yes;2012-07-01
56;427;FR-M63B-44;ML Mountain Frame - Black- 44;186;Mountain;CO_MF;Components;Mountain Frames;Yes;2012-07-01
57;428;FR-M63B-48;ML Mountain Frame - Black- 48;186;Mountain;CO_MF;Components;Mountain Frames;Yes;2012-07-01
58;263;FR-R38R-44;LL Road Frame - Red- 44;187;Road;CO_RF;Components;Road Frames;Yes;2012-07-01
59;265;FR-R38R-48;LL Road Frame - Red- 48;187;Road;CO_RF;Components;Road Frames;Yes;2012-07-01
60;267;FR-R38R-52;LL Road Frame - Red- 52;187;Road;CO_RF;Components;Road Frames;Yes;2012-07-01
61;269;FR-R38R-58;LL Road Frame - Red- 58;187;Road;CO_RF;Components;Road Frames;Yes;2012-07-01
62;271;FR-R38R-60;LL Road Frame - Red- 60;187;Road;CO_RF;Components;Road Frames;Yes;2012-07-01
63;273;FR-R38R-62;LL Road Frame - Red- 62;187;Road;CO_RF;Components;Road Frames;Yes;2012-07-01
64;410;FW-M423;LL Mountain Front Wheel;27;Mountain;CO_WH;Components;Wheels;Yes;2012-07-01
65;411;FW-M762;ML Mountain Front Wheel;93;Mountain;CO_WH;Components;Wheels;Yes;2012-07-01
66;412;FW-M928;HL Mountain Front Wheel;133;Mountain;CO_WH;Components;Wheels;Yes;2012-07-01
67;413;FW-R623;LL Road Front Wheel;38;Road;CO_WH;Components;Wheels;Yes;2012-07-01
68;414;FW-R762;ML Road Front Wheel;110;Road;CO_WH;Components;Wheels;Yes;2012-07-01
69;415;FW-R820;HL Road Front Wheel;147;Road;CO_WH;Components;Wheels;Yes;2012-07-01
70;416;FW-T905;Touring Front Wheel;97;Touring;CO_WH;Components;Wheels;Yes;2012-07-01
71;470;GL-F110-L;Full-Finger Gloves- L;16;Mountain;CL_GL;Clothing;Gloves;No;2012-07-01
72;469;GL-F110-M;Full-Finger Gloves- M;16;Mountain;CL_GL;Clothing;Gloves;No;2012-07-01
73;468;GL-F110-S;Full-Finger Gloves- S;16;Mountain;CL_GL;Clothing;Gloves;No;2012-07-01
74;394;HS-0296;LL Headset;15;n/a;CO_HS;Components;Headsets;No;2012-07-01
75;395;HS-2451;ML Headset;45;n/a;CO_HS;Components;Headsets;No;2012-07-01
76;396;HS-3479;HL Headset;55;n/a;CO_HS;Components;Headsets;No;2012-07-01
77;447;LO-C100;Cable Lock;10;Other sales;AC_LO;Accessories;Locks;Yes;2012-07-01
78;451;LT-H902;Headlights - Dual-Beam;14;Road;AC_LI;Accessories;Lights;Yes;2012-07-01
79;452;LT-H903;Headlights - Weatherproof;19;Road;AC_LI;Accessories;Lights;Yes;2012-07-01
80;450;LT-T990;Taillights - Battery-Powered;6;Road;AC_LI;Accessories;Lights;Yes;2012-07-01
81;446;PA-T100;Touring-Panniers- Large;52;Touring;AC_PA;Accessories;Panniers;No;2012-07-01
82;448;PU-0452;Minipump;8;Other sales;AC_PU;Accessories;Pumps;Yes;2012-07-01
83;449;PU-M044;Mountain Pump;10;Mountain;AC_PU;Accessories;Pumps;Yes;2012-07-01
84;419;RW-M423;LL Mountain Rear Wheel;39;Mountain;CO_WH;Components;Wheels;Yes;2012-07-01
85;420;RW-M762;ML Mountain Rear Wheel;105;Mountain;CO_WH;Components;Wheels;Yes;2012-07-01
86;421;RW-M928;HL Mountain Rear Wheel;145;Mountain;CO_WH;Components;Wheels;Yes;2012-07-01
87;422;RW-R623;LL Road Rear Wheel;50;Road;CO_WH;Components;Wheels;Yes;2012-07-01
88;423;RW-R762;ML Road Rear Wheel;122;Road;CO_WH;Components;Wheels;Yes;2012-07-01
89;424;RW-R820;HL Road Rear Wheel;159;Road;CO_WH;Components;Wheels;Yes;2012-07-01
90;425;RW-T905;Touring Rear Wheel;109;Touring;CO_WH;Components;Wheels;Yes;2012-07-01
91;461;SB-M891-L;Men's Bib-Shorts- L;37;Other sales;CL_BS;Clothing;Bib-Shorts;No;2012-07-01
92;460;SB-M891-M;Men's Bib-Shorts- M;37;Other sales;CL_BS;Clothing;Bib-Shorts;No;2012-07-01
93;459;SB-M891-S;Men's Bib-Shorts- S;37;Other sales;CL_BS;Clothing;Bib-Shorts;No;2012-07-01
94;454;SH-M897-L;Men's Sports Shorts- L;25;Other sales;CL_SH;Clothing;Shorts;No;2012-07-01
95;453;SH-M897-M;Men's Sports Shorts- M;25;Other sales;CL_SH;Clothing;Shorts;No;2012-07-01
